Time,X,Y,Z,u,v,w,p,q,r,phi (rad),theta (rad),psi (rad),u_p,u_q,u_r,t_x,t_y,t_z,backward_Mx,backward_My,backward_Mz,nominal_Mx,nominal_My,nominal_Mz,central_Mx,central_My,central_Mz
3.7,10.8166370391846,-6.21056604385376,7.73249244689941,-2.16690789013651,-0.00766524185085361,-1.06705073509405,0.000277848681434989,-0.437454909086227,-0.0176631137728691,0.00767297982110752,0.495202295390099,-2.6630097502561,0.00207002810202539,-0.00273249065503478,-0.000126577157061547,0,0,-0.504230082035065,-0.216791485971817,-2.55997641432073,0.117834857504712,-0.396958904073974,-12.9472978523178,-0.0650684740920759,-0.297572489618369,-1.29661936956432,0.00980540432770663
3.8,10.8902530670166,-6.17174100875854,7.73175811767578,-2.0386430389994,-0.00861432321188292,-0.914540279905613,-0.00555623788386583,-0.439629375934601,-0.0187761038541793,0.0071408090049562,0.477434382340618,-2.66406189883741,0.00207002810202539,-0.00273249065503478,-0.000126577157061547,0,0,-0.504230082035065,-0.374469540377006,-0.033418526814464,-0.113429942611512,0.0177766117683309,12.1347247983566,-0.0363723648113883,-0.0257689946022332,1.11410272164535,-0.212059727474955
3.9,11.0200977325439,-6.10324239730835,7.73522520065308,-1.77576123290915,-0.00828936495949524,-0.632416138902333,-0.00204178434796631,-0.291801065206528,-0.0221079867333173,0.00625462572499167,0.454421034980568,-2.66565782827366,-0.000247067655436695,-0.000985709368251264,0.000300266081467271,0,0,-0.504230082035065,0.309658580594788,2.26170860430949,-0.299737451401985,-0.230695307441538,31.7919038456303,-0.0123247518446471,-0.879940888197069,4.20601671649867,0.0081824519769476
4,11.1395626068115,-6.04016590118408,7.74808740615845,-1.47522260783475,-0.00812804533732495,-0.347981676520946,-0.0304200779646635,0.110185168683529,-0.0185125377029181,0.00419242944726706,0.445626904288107,-2.66750399748315,-0.000247067655436695,-0.000985709368251264,0.000300266081467271,0,0,-0.504051685333252,-2.13203368398474,6.14958406995631,0.339511838434378,-0.734461064095163,43.4717176871231,0.00125738804396868,-1.40797294610759,3.93077087860204,0.154857329065095
4.1,11.1839284896851,-6.01669216156006,7.75671148300171,-1.33696161751148,-0.0063530843644607,-0.246845007183424,-0.0393865555524826,0.222130462527275,-0.0190712958574295,0.00336210717271157,0.448839273760016,-2.66797302537017,-0.000247067655436695,-0.000985709368251264,0.000300266081467271,0,0,-0.504051685333252,-0.700078512117072,1.71168884751446,0.00220769611114971,-0.784355764449055,41.7840416024988,0.0142271958942434,-1.04291409844886,3.42835550685472,0.0933941657182037
4.2,11.2573490142822,-5.97796869277954,7.77664089202881,-1.04522872743346,-0.00280575003167942,-0.127819490127296,-0.0575443357229233,0.558476626873016,-0.0175786148756743,-0.00141127137628007,0.48150918663733,-2.66959148861497,-0.000978022115305066,-0.00185675057582557,-0.000210689147934318,0,0,-0.504051685333252,-1.42682532789565,5.14464979839603,0.323272736683445,-0.029728806636689,24.2530158580904,0.0442143131002152,-0.558956467084656,3.21618461308162,0.412416622681502
4.3,11.3110780715942,-5.9497594833374,7.79618978500366,-0.736833404421757,0.00208828826514472,-0.0437390586266219,-0.0524348542094231,0.642735838890076,-0.0140804471448065,-0.00524710720496825,0.518163524060306,-2.67092221097907,-0.000978022115305066,-0.00185675057582557,-0.000210689147934318,0,0,-0.504125714302063,0.314559261971441,1.28811016600467,0.51083854811787,0.555076114123822,7.78068212706608,0.0662600081470689,1.36604014738026,0.418614526799694,0.317242348637054
4.4,11.3492345809937,-5.93012475967407,7.81375646591187,-0.369227902373204,0.00979065338980597,0.068012472609509,-0.0191355366259813,0.613335490226746,-0.0149376494809986,-0.00810241377718147,0.556354064381222,-2.67228767411922,-0.000978022115305066,-0.00185675057582557,-0.000210689147934318,0,0,-0.504125714302063,2.41669831314969,-0.450234085661362,-0.00660782052559895,1.41551090965032,-9.21972447533653,0.0569454356073331,1.76090930555395,-2.22864855263848,0.0463156735395828
4.5,11.370231628418,-5.91943216323853,7.81997108459473,-0.02985865734106,0.0177362419485877,0.187783191013199,-0.00341769377700984,0.351462662220001,-0.0146042220294476,-0.00896598703505814,0.596243779442949,-2.67419983094198,0.00274940580129623,-0.00526831392198801,0.000251932098763064,0,0,-0.504125714302063,1.13477338330294,-4.0067256437482,0.0367647675412603,0.234063310620141,-27.455786492532,0.0775602387910989,0.498948538549568,-2.76102009581939,-0.0830661004328281
4.6,11.3719720840454,-5.91884851455688,7.82191944122314,0.144530505149897,0.0224762226385236,0.263329697459822,-0.00474609341472387,0.252427160739899,-0.0169666521251202,-0.00929113755503159,0.603255101522484,-2.67475022693764,0.00274940580129623,-0.00526831392198801,0.000251932098763064,0,0,-0.504125714302063,-0.13062034351226,-1.51535832384734,-0.202915641195553,0.0764402412399036,-39.3581650643942,0.0946633417064813,0.0182456197735287,-3.84972665855793,0.0170385844116648
